id,title,description,link,price,availability,condition,image_link,brand,identifier_exists
DC-001,Celebration Cake,"Elegant celebration cakes in Huntingdon for birthdays, anniversaries and family moments, with refined personal details and classic or premium flavours from £55.",https://dreamycake.co.uk/Products/celebration-cake/,55.00 GBP,in_stock,new,https://dreamycake.co.uk/assets/img/items/celebration-cake-main-blue-bear-cloud-birthday-cake.webp,Dreamy Cake,no
DC-002,Themed Cake,"Personalised themed cakes in Huntingdon for games, films, hobbies and story-led birthdays, with custom toppers and classic or premium flavours from £65.",https://dreamycake.co.uk/Products/themed-cake/,65.00 GBP,in_stock,new,https://dreamycake.co.uk/assets/img/items/themed-cake-main-rose-bouquet-gift-box-cake.webp,Dreamy Cake,no
DC-003,Mini / Bento Cake,"Mini and bento cakes in Huntingdon for thoughtful gifts, date nights and small celebrations, with personalised messages and flavours from £35.",https://dreamycake.co.uk/Products/mini-bento-cake/,35.00 GBP,in_stock,new,https://dreamycake.co.uk/assets/img/items/mini-bento-cake-main-white-black-bow-lambeth-cake.webp,Dreamy Cake,no
DC-004,Cupcakes,"Gift-ready cupcake boxes in Huntingdon for parties, offices, weddings and dessert tables, with mixed-box flavour options from £24.",https://dreamycake.co.uk/Products/cupcakes/,24.00 GBP,in_stock,new,https://dreamycake.co.uk/assets/img/items/cupcakes-main.webp,Dreamy Cake,no
DC-005,Postage Cookies (4-pack),Postal fondant cookie gift boxes available across the UK. Box of 4 from £12.,https://dreamycake.co.uk/Products/postage-cookie/,12.00 GBP,in_stock,new,https://dreamycake.co.uk/assets/img/items/postage-cookie-main.webp,Dreamy Cake,no
DC-006,Wedding Cakes,"Bespoke wedding cake service in Cambridgeshire with custom design, multi-tier cakes, matching cupcakes and venue setup from £150.",https://dreamycake.co.uk/Products/wedding-cake/,150.00 GBP,in_stock,new,https://dreamycake.co.uk/assets/img/items/wedding-cake-main-mr-and-mrs-black-bow-tiered-cake.webp,Dreamy Cake,no
DC-007,Cranberry & Orange Easter Cake,Traditional Easter cake made to order with cranberry and orange. Seasonal Easter bake for Brampton collection or local Huntingdon delivery.,https://dreamycake.co.uk/Products/easter-collection/#cranberry-orange-easter-cake,15.00 GBP,in_stock,new,https://dreamycake.co.uk/assets/img/items/easter-collection-cranberry-orange-paska-slice-02.webp,Dreamy Cake,no
DC-008,Vanilla & Pistachio Easter Cake,Traditional Easter cake made to order with vanilla and pistachio. Seasonal Easter bake for Brampton collection or local Huntingdon delivery.,https://dreamycake.co.uk/Products/easter-collection/#vanilla-pistachio-easter-cake,19.00 GBP,in_stock,new,https://dreamycake.co.uk/assets/img/items/easter-collection-vanilla-pistachio-paska-slice-03.webp,Dreamy Cake,no
DC-009,Easter Cupcakes,Spring cupcake box made to order for Easter. Seasonal cupcakes for Brampton collection or local Huntingdon delivery.,https://dreamycake.co.uk/Products/easter-collection/#easter-cupcakes,19.00 GBP,in_stock,new,https://dreamycake.co.uk/assets/img/items/easter-collection-spring-cupcakes-box-of-6-04.webp,Dreamy Cake,no
